Change Component Footprint: Designator=R11 Old Footprint=0805 RC New Footprint=0805-R
Change Component Footprint: Designator=C2 Old Footprint=C Φ5*11 L=2.5 New Footprint=C __5*11 L=2.5
Change Component Designator: OldDesignator=Lx1 NewDesignator=T1
Change component parameters: Designator = "C1" ("C1"); Footprint = "Cin /400V/56uF Wo"; UniqueID = "\ABFAEBOQ" ("\ABFAEBOQ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K/2W"; VariantName = "[No Variations]"
Change component parameters: Designator = "R8" ("R8"); Footprint = "1206-R"; UniqueID = "\DVJJULWA" ("\DVJJULWA")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K/2W"; VariantName = "[No Variations]"
Change component parameters: Designator = "R9" ("R9"); Footprint = "0805-R"; UniqueID = "\FMCDWHRN" ("\FMCDWHRN")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "R  2W"; UniqueID = "\YPMYHXRU" ("\YPMYHXRU")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "0805 RC"; UniqueID = "\BUNAARBL" ("\BUNAARBL")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "470/0805"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "0805-R"; UniqueID = "\BBTYDHCN" ("\BBTYDHCN")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k/0805"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "1206-R"; UniqueID = "\VUWCTJAW" ("\VUWCTJAW")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "68R/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "1206-R"; UniqueID = "\BNWFXVQA" ("\BNWFXVQA")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "47R/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "0805-R"; UniqueID = "\LLTXPVER" ("\LLTXPVER")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "200/0805"; VariantName = "[No Variations]"
Change component parameters: Designator = "R16" ("R16"); Footprint = "0805-R"; UniqueID = "\UPRYWTIS" ("\UPRYWTIS")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "39K/1%/0805"; VariantName = "[No Variations]"
Change component parameters: Designator = "R17" ("R17"); Footprint = "0805-R"; UniqueID = "\NDLQKSUY" ("\NDLQKSUY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K/1%/0805"; VariantName = "[No Variations]"
Change component parameters: Designator = "R18" ("R18"); Footprint = "0805-R"; UniqueID = "\DGVVVCRR" ("\DGVVVCRR")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "Rf1" ("Rf1"); Footprint = "0805-R"; UniqueID = "\GKUCPNNY" ("\GKUCPNNY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "24K"; VariantName = "[No Variations]"
Change component parameters: Designator = "Rg1" ("Rg1"); Footprint = "0805-R"; UniqueID = "\OBSJWNEB" ("\OBSJWNEB")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10K/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "RL1" ("RL1"); Footprint = "1206-R"; UniqueID = "\JYHSCIWA" ("\JYHSCIWA")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "750K/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "RX1" ("RX1"); Footprint = "1206-R"; UniqueID = "\ACYREHSY" ("\ACYREHSY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1M/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "RX2" ("RX2"); Footprint = "1206-R"; UniqueID = "\WDOEBPQC" ("\WDOEBPQC")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1M/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "RX3" ("RX3"); Footprint = "1206-R"; UniqueID = "\HTSYETPL" ("\HTSYETPL")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1M/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "RX4" ("RX4"); Footprint = "1206-R"; UniqueID = "\ASWLSKRU" ("\ASWLSKRU")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Axial Device, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "AXIAL-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1M/1206"; VariantName = "[No Variations]"
Change component parameters: Designator = "U2" ("U2"); Footprint = "LC-SMD-4"; UniqueID = "\VVFIUEXG" ("\VVFIUEXG")
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "Nov-2003"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "04-Mar-2005"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Sch pins 3 & 4 Swapped."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "DIP-4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "24-Mar-1999"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "X1" ("X1"); Footprint = "CX=10mm"; UniqueID = "\POKGDMVF" ("\POKGDMVF")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.22uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "Y1" ("Y1"); Footprint = "Y1"; UniqueID = "\PHKARNJE" ("\PHKARNJE")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "Radial Cap, Thru-Hole; 2 Leads; 0.3 in Pin Spacing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "RAD-0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "222"; VariantName = "[No Variations]"
Added Component: Designator=LED1(C0805)
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "SM LED; 2 Flat Leads"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "3.2X1.6X1.1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "Feb-2002"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "8-Jun-2000"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Component: Designator=P1(KF128-3.81-2P)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.bulgin.co.uk/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetDocument"; Value = "ver.80, 15-Sep-2003"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DrillSize"; Value = "Corresponds to nominal value."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "15-Jul-2004"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionNote"; Value = "Component Replaced."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MaximumRating"; Value = "10A, 250V a.c. (UL & CSA 15A, 250V a.c.)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MountingFixtures"; Value = "Not drawn on schematic symbol."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Note"; Value = "IEC Color Scheme employed for L, N and E."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDocument"; Value = "ver.80, 15-Sep-2003"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "PX0580/PC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB_Layout"; Value = "Complies with manufacturer's recommendation."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Published"; Value = "15-Jul-2004"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Terminations"; Value = "P.C. Spills"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NETC1_1 Pin=C1-1
Added Pin To Net: NetName=GND1 Pin=C1-2
Added Pin To Net: NetName=NETC2_1 Pin=C2-1
Added Pin To Net: NetName=GND1 Pin=C2-2
Added Pin To Net: NetName=GND1 Pin=C3-1
Added Pin To Net: NetName=NETC3_2 Pin=C3-2
Added Pin To Net: NetName=NETC2_1 Pin=C4-1
Added Pin To Net: NetName=GND1 Pin=C4-2
Added Pin To Net: NetName=NETC1_1 Pin=C5-1
Added Pin To Net: NetName=NETC5_2 Pin=C5-2
Added Pin To Net: NetName=NETC6_1 Pin=C6-1
Added Pin To Net: NetName=NETC6_2 Pin=C6-2
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=NETC7_2 Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=NETC7_2 Pin=C8-2
Added Pin To Net: NetName=NETC9_1 Pin=C9-1
Added Pin To Net: NetName=NETC9_2 Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=VCC Pin=C10-2
Added Pin To Net: NetName=VCC Pin=C11-1
Added Pin To Net: NetName=GND Pin=C11-2
Added Pin To Net: NetName=NETD1_+ Pin=D1-+
Added Pin To Net: NetName=NETD1_- Pin=D1--
Added Pin To Net: NetName=NETD2_1 Pin=D2-1
Added Pin To Net: NetName=NETC2_1 Pin=D2-2
Added Pin To Net: NetName=NETD3_1 Pin=D3-1
Added Pin To Net: NetName=NETC5_2 Pin=D3-2
Added Pin To Net: NetName=NETC6_1 Pin=D4-1
Added Pin To Net: NetName=NETC6_1 Pin=D4-1
Added Pin To Net: NetName=NETC7_2 Pin=D4-2
Added Pin To Net: NetName=NETC1_1 Pin=DB1-+
Added Pin To Net: NetName=GND1 Pin=DB1--
Added Pin To Net: NetName=NETDB1_L Pin=DB1-L
Added Pin To Net: NetName=NETDB1_N Pin=DB1-N
Added Pin To Net: NetName=NETF1_1 Pin=F1-1
Added Pin To Net: NetName=NETF1_2 Pin=F1-2
Added Pin To Net: NetName=NETC7_2 Pin=L1-1
Added Pin To Net: NetName=VCC Pin=L1-2
Added Pin To Net: NetName=NETLED1_1 Pin=LED1-1
Added Pin To Net: NetName=GND Pin=LED1-2
Added Pin To Net: NetName=NETNR1_1 Pin=NR1-1
Added Pin To Net: NetName=NETNR1_2 Pin=NR1-2
Added Pin To Net: NetName=NETF1_1 Pin=P1-1
Added Pin To Net: NetName=NETNR1_2 Pin=P1-2
Added Pin To Net: NetName=GND Pin=P2-GND
Added Pin To Net: NetName=VCC Pin=P2-VCC
Added Pin To Net: NetName=NETD3_1 Pin=Q1-D
Added Pin To Net: NetName=NETD1_+ Pin=Q1-G
Added Pin To Net: NetName=NETQ1_S Pin=Q1-S
Added Pin To Net: NetName=NETR1_1 Pin=R1-1
Added Pin To Net: NetName=NETC1_1 Pin=R1-2
Added Pin To Net: NetName=NETR2_1 Pin=R2-1
Added Pin To Net: NetName=NETR1_1 Pin=R2-2
Added Pin To Net: NetName=NETD1_- Pin=R3-1
Added Pin To Net: NetName=NETR3_2 Pin=R3-2
Added Pin To Net: NetName=NETD1_+ Pin=R4-1
Added Pin To Net: NetName=NETR3_2 Pin=R4-2
Added Pin To Net: NetName=NETQ1_S Pin=R5-1
Added Pin To Net: NetName=NETR5_2 Pin=R5-2
Added Pin To Net: NetName=NETC1_1 Pin=R6-1
Added Pin To Net: NetName=NETC5_2 Pin=R6-2
Added Pin To Net: NetName=NETC1_1 Pin=R7-1
Added Pin To Net: NetName=NETC5_2 Pin=R7-2
Added Pin To Net: NetName=NETC1_1 Pin=R8-1
Added Pin To Net: NetName=NETC5_2 Pin=R8-2
Added Pin To Net: NetName=NETR9_1 Pin=R9-1
Added Pin To Net: NetName=NETD2_1 Pin=R9-2
Added Pin To Net: NetName=GND1 Pin=R10-1
Added Pin To Net: NetName=NETQ1_S Pin=R10-2
Added Pin To Net: NetName=NETR11_1 Pin=R11-1
Added Pin To Net: NetName=NETC7_2 Pin=R11-2
Added Pin To Net: NetName=NETC9_1 Pin=R12-1
Added Pin To Net: NetName=NETR11_1 Pin=R12-2
Added Pin To Net: NetName=NETC7_2 Pin=R13-1
Added Pin To Net: NetName=NETC6_2 Pin=R13-2
Added Pin To Net: NetName=NETC7_2 Pin=R14-1
Added Pin To Net: NetName=NETC6_2 Pin=R14-2
Added Pin To Net: NetName=NETR15_1 Pin=R15-1
Added Pin To Net: NetName=NETC9_2 Pin=R15-2
Added Pin To Net: NetName=NETR15_1 Pin=R16-1
Added Pin To Net: NetName=VCC Pin=R16-2
Added Pin To Net: NetName=GND Pin=R17-1
Added Pin To Net: NetName=NETR15_1 Pin=R17-2
Added Pin To Net: NetName=NETLED1_1 Pin=R18-1
Added Pin To Net: NetName=VCC Pin=R18-2
Added Pin To Net: NetName=NETRF1_1 Pin=Rf1-1
Added Pin To Net: NetName=GND1 Pin=Rf1-2
Added Pin To Net: NetName=NETD1_+ Pin=Rg1-1
Added Pin To Net: NetName=GND1 Pin=Rg1-2
Added Pin To Net: NetName=GND Pin=RL1-1
Added Pin To Net: NetName=VCC Pin=RL1-2
Added Pin To Net: NetName=NETF1_2 Pin=RX1-1
Added Pin To Net: NetName=NETRX1_2 Pin=RX1-2
Added Pin To Net: NetName=NETF1_2 Pin=RX2-1
Added Pin To Net: NetName=NETRX2_2 Pin=RX2-2
Added Pin To Net: NetName=NETRX1_2 Pin=RX3-1
Added Pin To Net: NetName=NETNR1_1 Pin=RX3-2
Added Pin To Net: NetName=NETRX2_2 Pin=RX4-1
